,companyname,year,country,bvdidnumber,dbdunsnumber,countryisocode,tfp_available
43231,,2001,Austria,AT9070017409,NA,AT,0
43249,DOUBRAVA GESELLSCHAFT M.B.H. & CO. KG,2001,Austria,AT9070017505,NA,AT,0
43462,ELFRIEDE LÖFFLER GESELLSCHAFT M.B.H.,2001,Austria,AT9070019511,NA,AT,1
43563,MIBA AG,2001,Austria,AT9070019858,NA,AT,1
43831,EKB ELEKTRO- U. KUNSTSTOFFTECHNIK GESELLSCHAFT M.B.H.,2001,Austria,AT9070021586,NA,AT,1
43848,,2001,Austria,AT9070021621,NA,AT,0
43967,HYDRO ALUMINIUM MANDL&BERGER GMBH,2001,Austria,AT9070022368,NA,AT,1
44308,INNVIERTLER LAGERHAUSGENOSSENSCHAFT REGISTRIERTE GENOSSENSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9070024754,NA,AT,0
45199,HUBERS LANDHENDL GMBH,2001,Austria,AT9070031162,NA,AT,1
45491,,2001,Austria,AT9070033507,NA,AT,0
45691,DOPPLER MINERALÖLE GESELLSCHAFT M.B.H.,2001,Austria,AT9070035201,NA,AT,0
45788,SCHACHINGER LOGISTIK HOLDING GMBH & CO KG,2001,Austria,AT9070035994,NA,AT,0
45999,,2001,Austria,AT9070037189,NA,AT,0
46352,,2001,Austria,AT9070039987,NA,AT,0
46387,TEUFELBERGER SEIL GESELLSCHAFT M.B.H.,2001,Austria,AT9070040116,NA,AT,1
46422,,2001,Austria,AT9070040168,NA,AT,0
46452,A. NUßBAUMER TRANSPORTGESELLSCHAFT M.B.H.,2001,Austria,AT9070040260,NA,AT,0
46624,LINDE FÖRDERTECHNIK GMBH,2001,Austria,AT9070040986,NA,AT,0
46733,LINDE GAS GMBH,2001,Austria,AT9070042444,NA,AT,0
46766,GMUNDNER MOLKEREI REG. GENOSSENSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9070042750,NA,AT,1
46890,EUROFOAM GMBH,2001,Austria,AT9070043927,NA,AT,1
47543,,2001,Austria,AT9070051519,NA,AT,0
47945,,2001,Austria,AT9070056100,NA,AT,0
48181,ZEILBERGER FRUIT-SERVICE AG,2001,Austria,AT9070058100,NA,AT,0
48239,VA TECHNOLOGIE AG,2001,Austria,AT9070058740,NA,AT,1
48628,FABASOFT AG,2001,Austria,AT9070062661,NA,AT,0
48800,BERGLANDMILCH REGISTRIERTE GENOSSENSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9070064401,NA,AT,1
49620,JOWOOD PRODUCTIONS SOFTWARE AG,2001,Austria,AT9070073036,NA,AT,0
51090,VOESTALPINE STAHLHANDEL GMBH,2001,Austria,AT9070085857,NA,AT,0
51258,LANDHOF GESMBH & CO KG,2001,Austria,AT9070087468,NA,AT,1
52013,"AGRU" KUNSTSTOFFTECHNIK GESELLSCHAFT M.B.H.,2001,Austria,AT9070093889,NA,AT,0
52243,GLS BAU UND MONTAGE G.M.B.H.,2001,Austria,AT9070095932,NA,AT,0
52893,ALLGEMEINE FONDSBERATUNG GMBH,2001,Austria,AT9070101084,NA,AT,0
52901,EISEN WAGNER GESELLSCHAFT M.B.H,2001,Austria,AT9070101140,NA,AT,0
52963,,2001,Austria,AT9070101554,NA,AT,0
53090,KEBA AG,2001,Austria,AT9070102770,NA,AT,0
53223,E. HAWLE ARMATURENWERKE GMBH,2001,Austria,AT9070103644,NA,AT,1
53266,SCHEUCH GMBH,2001,Austria,AT9070103945,NA,AT,1
53534,GERICOM AG,2001,Austria,AT9070106089,NA,AT,1
53797,WEYLAND GMBH,2001,Austria,AT9070108363,NA,AT,0
53810,REITER BETTEN & VORHÄNGE GES.M.B.H.,2001,Austria,AT9070108426,NA,AT,0
54368,PFS FINANCIAL SERVICES INTERNATIONAL AG,2001,Austria,AT9070112946,NA,AT,0
54566,VOESTALPINE EUROPLATINEN GMBH & CO. KG,2001,Austria,AT9070114377,NA,AT,1
54694,CLC AG,2001,Austria,AT9070115459,NA,AT,0
55093,LUTZ SERVICE GMBH,2001,Austria,AT9070118984,NA,AT,0
55166,EBEWE PHARMA GES. M. B. H. NFG. KG,2001,Austria,AT9070119515,NA,AT,1
55247,BRP - ROTAX GMBH & CO. KG,2001,Austria,AT9070119974,NA,AT,1
64624,HIRSCH SERVO AG,2001,Austria,AT9090002387,NA,AT,1
64820,INDUSTRIE BETRIEBE SWATEK GMBH & CO KG,2001,Austria,AT9090003516,NA,AT,0
64986,SW UMWELTTECHNIK STOISER & WOLSCHNER AG,2001,Austria,AT9090004697,NA,AT,0
65979,,2001,Austria,AT9090013506,NA,AT,0
66268,"UNSER LAGERHAUS" WARENHANDELSGESELLSCHAFT M.B.H.,2001,Austria,AT9090016730,NA,AT,0
66528,AVW INVEST AG,2001,Austria,AT9090019357,NA,AT,0
66726,,2001,Austria,AT9090021505,NA,AT,0
67183,,2001,Austria,AT9090028735,NA,AT,0
69315,INFINEON TECHNOLOGIES AUSTRIA AG,2001,Austria,AT9090062838,NA,AT,1
73226,EVN ENERGIE-VERSORGUNG NIEDEROSTERREICH AG,2001,Austria,AT9110000017,NA,AT,0
73240,ALLGEMEINE BAUGESELLSCHAFT-A.PORR AG,2001,Austria,AT9110000066,NA,AT,0
73316,INKU AG,2001,Austria,AT9110000474,NA,AT,0
73338,OESTERREICHISCHE INDUSTRIEHOLDING AG,2001,Austria,AT9110000589,NA,AT,0
73420,MOBIL OIL AUSTRIA GMBH,2001,Austria,AT9110000937,NA,AT,0
73439,AUSTRIAN GAMING INDUSTRIES GMBH,2001,Austria,AT9110001117,NA,AT,1
73490,DELPHI AUTOMOTIVE SYSTEMS VIENNA GMBH,2001,Austria,AT9110001704,NA,AT,1
73633,TEERAG-ASDAG AG,2001,Austria,AT9110002622,NA,AT,0
73794,JOSEF MANNER & COMP. AG,2001,Austria,AT9110004710,NA,AT,1
73864,DBK - DONAU BRENNSTOFFKONTOR GMBH,2001,Austria,AT9110006717,NA,AT,0
73926,CINCINNATI EXTRUSION GMBH,2001,Austria,AT9110008758,NA,AT,0
73942,ALU KÖNIG STAHL GMBH,2001,Austria,AT9110008867,NA,AT,0
74165,DO & CO PARTY - SERVICE & CATERING GMBH,2001,Austria,AT9110013988,NA,AT,0
74225,AGRANA BETEILIGUNGS-AKTIENGESELLSCHAFT,2001,Austria,AT9110015079,NA,AT,1
74246,OMV AKTIENGESELLSCHAFT,2001,Austria,AT9110015290,NA,AT,0
74287,TIMETRON WARENHANDELSGESELLSCHAFT M. B. H.,2001,Austria,AT9110015677,NA,AT,0
74492,BAYER AUSTRIA GESELLSCHAFT M.B.H.,2001,Austria,AT9110020522,NA,AT,0
74712,WIENERBERGER AG,2001,Austria,AT9110026043,NA,AT,1
75004,KNORR-BREMSE GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9110030928,NA,AT,1
75021,SEMPERIT AG HOLDING,2001,Austria,AT9110031029,NA,AT,0
75063,PRO MARKT HIFI-VIDEO ELEKTROGERÄTE HANDELSGESELLSCHAFT M. B. H.,2001,Austria,AT9110031344,NA,AT,0
75116,LKW WALTER INTERNATIONALE TRANSPORTORGANISATION AG,2001,Austria,AT9110032016,NA,AT,0
75147,BAUMAX AG,2001,Austria,AT9110032219,NA,AT,0
75227,MAUTNER MARKHOF NAHRUNGS- UND GENUSSMITTEL BETEILIGUNGSAKTIENGESELLSCHAFT,2001,Austria,AT9110033439,NA,AT,1
75246,SCHLUMBERGER AG,2001,Austria,AT9110033476,NA,AT,1
75853,AUSTRIAN AIRLINES ÖSTERREICHISCHE LUFTVERKEHRS-AG,2001,Austria,AT9110044307,NA,AT,0
75909,RHI AG,2001,Austria,AT9110044833,NA,AT,1
75954,ÖSTERREICHISCHE ELEKTRIZITÄTSWIRTSCHAFTS-AKTIENGESELLSCHAFT (VERBUNDGESELLSCHAFT),2001,Austria,AT9110045199,NA,AT,0
76100,UPDATE SOFTWARE AG,2001,Austria,AT9110047829,NA,AT,0
76213,BRAIN FORCE HOLDING AG,2001,Austria,AT9110050653,NA,AT,0
76372,DHL EXPRESS (AUSTRIA) GMBH,2001,Austria,AT9110054477,NA,AT,0
76491,MAYR-MELNHOF KARTON AG,2001,Austria,AT9110055656,NA,AT,1
76555,OTTAKRINGER BRAUEREI HARMER AG,2001,Austria,AT9110056408,NA,AT,1
76676,LEIPNIK-LUNDENBURGER INDUSTRIE AG,2001,Austria,AT9110057871,NA,AT,0
76918,ÖAMTC - BETRIEBE, GESELLSCHAFT M.B.H.,2001,Austria,AT9110060907,NA,AT,0
76934,RATH AKTIENGESELLSCHAFT,2001,Austria,AT9110060984,NA,AT,1
77372,FRAUENTHAL HOLDING AG,2001,Austria,AT9110065885,NA,AT,1
77415,ELECTROLUX HAUSGERÄTE GMBH,2001,Austria,AT9110066255,NA,AT,0
77630,VIENNA INTERNATIONAL AIRPORT,2001,Austria,AT9110068887,NA,AT,0
77909,TOPCALL INTERNATIONAL AG,2001,Austria,AT9110072927,NA,AT,0
78268,CA IMMOBILIEN ANLAGEN AG,2001,Austria,AT9110080134,NA,AT,0
78345,VAMED AKTIENGESELLSCHAFT,2001,Austria,AT9110081609,NA,AT,0
78447,FRANZ PLASSER BAHNBAUMASCHINEN -INDUSTRIEGESELLSCHAFT M.B.H.,2001,Austria,AT9110083561,NA,AT,0
78771,FREQUENTIS GMBH,2001,Austria,AT9110090405,NA,AT,1
78880,SALESIANER WÄSCHEREI PUTZEREI GESELLSCHAFT M.B.H.,2001,Austria,AT9110091345,NA,AT,0
78940,UNTERNEHMENS INVEST AG,2001,Austria,AT9110092223,NA,AT,0
79207,SCHWECHATER KABELWERKE GESELLSCHAFT M.B.H.,2001,Austria,AT9110098051,NA,AT,0
79266,VAE AG,2001,Austria,AT9110098988,NA,AT,0
79373,SANOCHEMIA PHARMAZEUTIKA AG,2001,Austria,AT9110101226,NA,AT,1
79517,VISO-DATA COMPUTER AG,2001,Austria,AT9110103109,NA,AT,0
79601,BAUMAX HANDELS GMBH,2001,Austria,AT9110104831,NA,AT,0
80089,S&T SYSTEM INTEGRATION AND TECHNOLOGY DISTRIBUTION AG,2001,Austria,AT9110113690,NA,AT,0
80411,AUSTRIA ÖSTERREICHISCHE HOTELBETRIEBS-AKTIENGESELLSCHAFT,2001,Austria,AT9110119529,NA,AT,0
80514,ADMIRAL SPORTWETTEN AG,2001,Austria,AT9110120851,NA,AT,0
80636,DELTA BETEILIGUNGS- AKTIENGESELLSCHAFT,2001,Austria,AT9110122844,NA,AT,0
80796,ERSTE BURGENLÄNDISCHE GEMEINNÜTZIGE SIEDLUNGS- GENOSSENSCHAFT REG.GENMBH,2001,Austria,AT9110124753,NA,AT,0
80801,KONICA MINOLTA PHOTO IMAGING AUSTRIA GMBH,2001,Austria,AT9110124774,NA,AT,0
80985,UBM REALITAETENENTWICKLUNG AG,2001,Austria,AT9110126197,NA,AT,0
81022,VOLKSBAU, GEMEINNÜTZIGE WOHN- UND SIEDLUNGSGENOSSENSCHAFT, REG.GEN.MBH.,2001,Austria,AT9110126479,NA,AT,0
81658,ADCON TELEMETRY AG,2001,Austria,AT9110143855,NA,AT,1
81760,RAGUSA BETEILIGUNGS AG,2001,Austria,AT9110145690,NA,AT,0
82136,BÖHLER-UDDEHOLM AG,2001,Austria,AT9110157664,NA,AT,1
82454,PALMERS TEXTIL AKTIENGESELLSCHAFT,2001,Austria,AT9110166971,NA,AT,0
82484,PIPELIFE AUSTRIA GMBH & CO KG,2001,Austria,AT9110167801,NA,AT,1
82888,MFC COMMODITIES GMBH MILLENNIUM TOWER 21STFLOOR,2001,Austria,AT9110182338,NA,AT,0
83043,EUROMARKETING AG,2001,Austria,AT9110187656,NA,AT,0
83423,SACHER HOTELS BETRIEBSGESELLSCHAFT M.B.H.,2001,Austria,AT9110199083,NA,AT,0
83779,CONSTANTIA PACKAGING AG,2001,Austria,AT9110210011,NA,AT,1
83865,AUTOHAUS LIEWERS KRAFTFAHRZEUGHANDELUND LIEGENSCHAFTSVERWALTUNG AKTIENGESELLSCHAFT,2001,Austria,AT9110212238,NA,AT,0
83971,TELETRADER.COM SOFTWARE AG,2001,Austria,AT9110215121,NA,AT,0
84633,CONSTANTIA ISO HOLDING AG,2001,Austria,AT9110233779,NA,AT,1
84914,CYBERTRON TELEKOM AG,2001,Austria,AT9110240666,NA,AT,0
85004,STADTBAUMEISTER ARCHITEKT FRANZ BÖHM GMBH,2001,Austria,AT9110243628,NA,AT,0
85071,TELEKOM AUSTRIA AG,2001,Austria,AT9110245031,NA,AT,0
85567,DO & CO RESTAURANTS & CATERING AG,2001,Austria,AT9110255555,NA,AT,0
85838,WIENER BOERSE AG,2001,Austria,AT9110261327,NA,AT,0
85932,UMWELTDIENST BURGENLAND GMBH,2001,Austria,AT9110262839,NA,AT,0
86226,SKANDIA INVEST SERVICE GMBH,2001,Austria,AT9110274437,NA,AT,0
86302,TTTECH COMPUTERTECHNIK AG,2001,Austria,AT9110276348,NA,AT,1
86318,STAGE1.CC TECHNOLOGY BUSINESS INCUBATOR AG,2001,Austria,AT9110276591,NA,AT,0
86650,TELE.RING TELEKOM SERVICE GMBH,2001,Austria,AT9110287567,NA,AT,0
86703,HIGH PERFORMANCE SYSTEMS HOLDING GMBH,2001,Austria,AT9110288907,NA,AT,0
86717,AVANTI TANKSTELLENBETRIEBSGESELLSCHAFT M.B.H.,2001,Austria,AT9110289307,NA,AT,0
87011,HTP HIGH TECH PLASTICS AG,2001,Austria,AT9110295704,NA,AT,1
87531,ALU-SOMMER GMBH,2001,Austria,AT9110305699,NA,AT,1
87556,IGENEON KREBS-IMMUNTHERAPIE FORSCHUNGS- UND ENTWICKLUNGS-AG,2001,Austria,AT9110306076,NA,AT,0
87694,WEBFREETV.COM MULTIMEDIA DIENSTLEISTUNGEN AKTIENGESELLSCHAFT,2001,Austria,AT9110310168,NA,AT,0
87839,WAAGNER-BIRO AG,2001,Austria,AT9110312514,NA,AT,0
87949,BWIN INTERACTIVE ENTERTAINMENT AG,2001,Austria,AT9110314800,NA,AT,0
88153,TOP.EQUITY UNTERNEHMENSBETEILIGUNGS AG,2001,Austria,AT9110320168,NA,AT,0
88298,KRAFT & WÄRME GEBÄUDESYSTEME GMBH,2001,Austria,AT9110322364,NA,AT,0
88378,UNILEVER AUSTRIA GMBH,2001,Austria,AT9110323627,NA,AT,0
88427,"MEDIANET" VERLAG AG,2001,Austria,AT9110324086,NA,AT,0
88522,MONTAN METALL RECYCLING AG IN LIQU.,2001,Austria,AT9110325347,NA,AT,0
88623,KALLINGER BAU GMBH,2001,Austria,AT9110326818,NA,AT,0
88669,NDS INTERNETSERVICE & COMPUTERVERTRIEBS AG,2001,Austria,AT9110327352,NA,AT,0
88893,HOERBIGER VENTILWERKE GMBH,2001,Austria,AT9110329335,NA,AT,1
89053,KRUTRADE AG,2001,Austria,AT9110333591,NA,AT,0
89104,AUTOHAUS TRIESTERSTRASSE GMBH,2001,Austria,AT9110334180,NA,AT,0
90139,INTIER AUTOMOTIVE EYBL GMBH,2001,Austria,AT9110353166,NA,AT,0
90337,MISCHEK SYSTEMBAU, VORFERTIGUNGS U. LOGISTIK GMBH,2001,Austria,AT9110356144,NA,AT,0
90422,LEIPNIK-LUNDENBURGER INVEST BETEILIGUNGS AG,2001,Austria,AT9110357050,NA,AT,1
99690,ALLIANZ ELEMENTAR VERSICHERUNGS AG,2001,Austria,AT911157,NA,AT,0
99695,PALFINGER AG,2001,Austria,AT9130000041,NA,AT,1
99717,MEPLA WERKE - LAUTENSCHLÄGER GESELLSCHAFT M.B.H. & CO. KG,2001,Austria,AT9130000171,NA,AT,0
99721,RÖHRICH HEIZUNG UND INDUSTRIEBEDARF GESELLSCHAFT M.B.H.,2001,Austria,AT9130000181,NA,AT,0
99730,RESCHREITER GESELLSCHAFT M.B.H.,2001,Austria,AT9130000246,NA,AT,1
99768,ALLMOBIL AUTOHANDELSGESELLSCHAFT M.B.H.,2001,Austria,AT9130000346,NA,AT,0
99799,ALPINE MAYREDER BAU GMBH,2001,Austria,AT9130000494,NA,AT,0
99817,,2001,Austria,AT9130000612,NA,AT,0
100149,STADLBAUER MARKETING + VERTRIEB GESELLSCHAFT M.B.H.,2001,Austria,AT9130002664,NA,AT,0
100287,GEORG PAPPAS AUTOMOBIL AKTIENGESELLSCHAFT,2001,Austria,AT9130003649,NA,AT,0
100408,G. HINTEREGGER & SÖHNE BAUGESELLSCHAFT M.B.H.,2001,Austria,AT9130004272,NA,AT,0
100421,ABERG-HINTERTHAL-BERGBAHNEN AKTIENGESELLSCHAFT,2001,Austria,AT9130004318,NA,AT,0
100551,,2001,Austria,AT9130005179,NA,AT,0
100558,GLEITBAU-GESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,2001,Austria,AT9130005194,NA,AT,0
100593,JOHANN OBERRATER BAUUNTERNEHMUNGS GESELLSCHAFT M.B.H.,2001,Austria,AT9130005871,NA,AT,0
100710,TECAN AUSTRIA GMBH,2001,Austria,AT9130007379,NA,AT,0
100865,NON FERRUM METALLPULVER GESELLSCHAFT M.B.H. & CO. KG,2001,Austria,AT9130009637,NA,AT,1
100892,,2001,Austria,AT9130010043,NA,AT,0
100950,UNITO VERSAND & DIENSTLEISTUNGEN GMBH,2001,Austria,AT9130010771,NA,AT,0
101090,KUHN VERMÖGENSVERWALTUNGS GMBH,2001,Austria,AT9130012107,NA,AT,0
101143,KUHN-BAUMASCHINEN GMBH,2001,Austria,AT9130012490,NA,AT,0
101173,PAPPAS AUTOMOBILVERTRIEBS GMBH,2001,Austria,AT9130012930,NA,AT,0
101190,GEBRÜDER LIMMERT AKTIENGESELLSCHAFT,2001,Austria,AT9130013068,NA,AT,0
101307,G.S. GEORG STEMESEDER GMBH,2001,Austria,AT9130014555,NA,AT,0
101360,BLECKMANN GMBH,2001,Austria,AT9130015428,NA,AT,0
101527,GASTEINER BERGBAHNEN AKTIENGESELLSCHAFT,2001,Austria,AT9130017711,NA,AT,0
101597,BETONWERK RIEDERGESELLSCHAFT M.B.H.,2001,Austria,AT9130018433,NA,AT,1
101623,S. SCHÖSSWENDER-WERKE METALL- U. SCHMIEDEKUNST GESELLSCHAFT M.B.H.,2001,Austria,AT9130018682,NA,AT,0
101977,,2001,Austria,AT9130024098,NA,AT,0
102161,,2001,Austria,AT9130027355,NA,AT,0
102210,EISENWERK SULZAU-WERFEN R. & E. WEINBERGER AKTIENGESELLSCHAFT,2001,Austria,AT9130028249,NA,AT,1
102306,MB LEASING GMBH,2001,Austria,AT9130030264,NA,AT,0
102553,GLETSCHERBAHNEN KAPRUN AKTIENGESELLSCHAFT,2001,Austria,AT9130034352,NA,AT,0
102624,S. SCHÖSSWENDER-WERKE METALLGIEßEREI GESELLSCHAFT M.B.H.,2001,Austria,AT9130035108,NA,AT,0
102681,INTERCAR AUSTRIA GMBH,2001,Austria,AT9130035321,NA,AT,0
102743,ADEG ÖSTERREICH HANDELSAKTIENGESELLSCHAFT,2001,Austria,AT9130036699,NA,AT,0
102808,KAINDL DECOR GMBH,2001,Austria,AT9130038663,NA,AT,0
102830,VOGLAUER MÖBEL GESELLSCHAFT M.B.H.,2001,Austria,AT9130039130,NA,AT,0
103008,OBERPINZGAUER FREMDENVERKEHRSFÖRDERUNGS - UND BERGBAHNEN AKTIENGESELLSCHAFT,2001,Austria,AT9130043016,NA,AT,0
103040,STEINER TRANSPORT GESELLSCHAFT MBH,2001,Austria,AT9130043686,NA,AT,0
103176,EMTS TECHNOLOGIE AG,2001,Austria,AT9130046642,NA,AT,0
103248,CONCEPTA VERSICHERUNGSMAKLER AG,2001,Austria,AT9130048703,NA,AT,0
103287,SONY DADC AUSTRIA AKTIENGESELLSCHAFT,2001,Austria,AT9130049021,NA,AT,1
103325,TREUHAND - SALZBURG AG WIRTSCHAFTSPRÜFUNGS- UND STEUERBERATUNGSGESELLSCHAFT,2001,Austria,AT9130050163,NA,AT,0
103326,ALUTECH GESELLSCHAFT M.B.H.,2001,Austria,AT9130050183,NA,AT,1
103407,COMTRADE HANDELSGES. M.B.H. & CO.,2001,Austria,AT9130051755,NA,AT,0
103546,,2001,Austria,AT9130054236,NA,AT,0
103672,PLAUT AG,2001,Austria,AT9130058263,NA,AT,0
103726,LEITGÖB WOHNBAU BAUTRÄGER GMBH,2001,Austria,AT9130058595,NA,AT,0
103753,,2001,Austria,AT9130059017,NA,AT,0
103931,BLIZZARD SPORT GMBH,2001,Austria,AT9130061740,NA,AT,1
104221,SCHÖN PRIVATSTIFTUNG,2001,Austria,AT9130067444,NA,AT,0
104268,MILUPA GMBH,2001,Austria,AT9130068626,NA,AT,0
104420,KAINDL FLOORING GMBH,2001,Austria,AT9130071495,NA,AT,0
104572,,2001,Austria,AT9130073105,NA,AT,0
104827,WINGLINER PRODUKTIONS- UND VERTRIEBSGESELLSCHAFT GMBH,2001,Austria,AT9130077764,NA,AT,0
105051,SENOVA KUNSTSTOFFE GMBH & CO.KG,2001,Austria,AT9130080839,NA,AT,0
105072,SALZBURG SPORT AG,2001,Austria,AT9130081113,NA,AT,0
105296,IUL SOFTWAREHOUSE AG,2001,Austria,AT9130084434,NA,AT,0
105358,CONTAINER TERMINAL SALZBURG GMBH,2001,Austria,AT9130085240,NA,AT,0
105665,EUROMOTIVE GESELLSCHAFT M.B.H.&CO KG,2001,Austria,AT9130088554,NA,AT,1
108636,RUDOLF LEINER GESELLSCHAFT M.B.H.,2001,Austria,AT9150000888,NA,AT,0
108674,LEYRER + GRAF BAUGESELLSCHAFT M.B.H.,2001,Austria,AT9150001031,NA,AT,0
108680,ERGEE TEXTILGRUPPE GMBH,2001,Austria,AT9150001111,NA,AT,1
109009,KLENK & MEDER GESELLSCHAFT M.B.H.,2001,Austria,AT9150004938,NA,AT,1
109318,MASCHINENFABRIK HEID AG,2001,Austria,AT9150007864,NA,AT,1
109358,SCHUKRA BERNDORF GMBH,2001,Austria,AT9150008195,NA,AT,1
109420,BERNDORF METALL- UND BÄDERBAU GES. M. B. H. & CO. KG,2001,Austria,AT9150008785,NA,AT,1
109486,BENDA-LUTZ WERKE GMBH,2001,Austria,AT9150009286,NA,AT,1
109534,MABA FERTIGTEILINDUSTRIE GMBH,2001,Austria,AT9150010560,NA,AT,0
109691,WELSER PROFILE AG,2001,Austria,AT9150012053,NA,AT,1
109931,MOSSER LEIMHOLZ GESELLSCHAFT M.B.H.,2001,Austria,AT9150013850,NA,AT,1
110097,VOESTALPINE KREMS GMBH,2001,Austria,AT9150015463,NA,AT,1
110357,READYMIX KIES-UNION AG,2001,Austria,AT9150017739,NA,AT,1
110692,UMDASCH SHOP-CONCEPT GMBH,2001,Austria,AT9150021270,NA,AT,0
110754,GROSSKÜCHENTECHNIK AUSTRIA GMBH,2001,Austria,AT9150021864,NA,AT,0
111318,ATYS AUSTRIA GMBH,2001,Austria,AT9150028226,NA,AT,1
111929,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT AG,2001,Austria,AT9150038693,NA,AT,1
112362,BÖHLER - UDDEHOLM PRECISION STRIP GMBH & CO KG,2001,Austria,AT9150046071,NA,AT,1
112366,GARANT - TIERNAHRUNG GESELLSCHAFT M.B.H.,2001,Austria,AT9150046142,NA,AT,1
112387,VOESTALPINE GIESSEREI TRAISEN GMBH,2001,Austria,AT9150046388,NA,AT,1
112497,EYBL INTERNATIONAL AG,2001,Austria,AT9150048182,NA,AT,1
112568,REXAM BEVERAGE CAN ENZESFELD GMBH,2001,Austria,AT9150048672,NA,AT,1
112616,ROTH-TECHNIK AUSTRIA GESELLSCHAFT M.B.H.,2001,Austria,AT9150048981,NA,AT,1
113157,LOHMANN & RAUSCHER GMBH,2001,Austria,AT9150057261,NA,AT,0
113317,LAUFEN AUSTRIA AG,2001,Austria,AT9150060490,NA,AT,1
113665,BEKO HOLDING AG,2001,Austria,AT9150067440,NA,AT,0
113703,WORTHINGTON CYLINDERS GMBH,2001,Austria,AT9150067977,NA,AT,1
115964,BMTI-BAUMASCHINENTECHNIK INTERNATIONAL GMBH,2001,Austria,AT9150108623,NA,AT,1
118963,COFACE AUSTRIA KREDITVERSICHERUNGS AG,2001,Austria,AT935040,NA,AT,0
118972,HDI HANNOVER VERSICHERUNG AG,2001,Austria,AT940191,NA,AT,0
